id,era,typology,total_floor_area_m2,is_high_potential,grid_id,baseline_energy_kwh,R1_savings_kwh,R2_savings_kwh,R3_savings_kwh,R4_savings_kwh,R5_savings_kwh,R5_heating_savings_kwh,R5_cooling_savings_kwh
186395622,era2,lowrise,29091.46,1,1601,6150807.41,301678.44,138475.35,185312.60,1641340.17,2126294.81,1687013.77,319715.15
186395663,era2,lowrise,41297.58,1,1601,8731548.18,428255.90,196576.48,263065.58,2330009.46,3018440.12,2394846.66,453860.40
218409921,era2,lowrise,4579.53,1,1316,968249.83,47489.73,21798.56,29171.61,258377.08,334717.85,265566.94,50329.03
218410248,era1,lowrise,2934.96,1,1315,766642.07,54267.41,29789.84,31932.36,262796.32,360618.54,283634.53,56615.38
218454589,era2,lowrise,6742.16,1,671,1425494.14,69916.20,32092.68,42947.56,380392.67,492784.47,390977.86,74096.34
218553870,era2,midrise,1550.39,1,1275,327799.18,16077.54,7379.86,9875.98,87473.00,113318.01,89907.12,17038.79
218553992,era2,midrise,1109.41,0,1275,234561.92,11504.58,5280.79,7066.94,62592.91,81086.78,64334.69,12192.42
218553998,era1,lowrise,26.59,0,1316,6945.58,491.65,269.89,289.30,2380.87,3267.11,2569.66,512.92
218559657,era1,lowrise,1168.38,0,1275,305192.44,21603.35,11859.06,12711.97,104616.75,143558.85,112912.24,22538.05
218559658,era2,midrise,1224.54,0,1275,258904.75,12698.48,5828.81,7800.32,69088.55,89501.63,71011.07,13457.69
218559659,era1,lowrise,6547.72,1,1275,1710328.99,121067.34,66459.36,71239.19,586282.85,804518.36,632771.66,126305.52
218559660,era2,lowrise,3058.91,1,1275,646746.01,31720.90,14560.41,19485.26,172583.70,223575.73,177386.19,33617.42
218559661,era2,lowrise,3504.79,1,1275,741017.54,36344.67,16682.80,22325.51,197740.25,256165.10,203242.77,38517.64
218559662,era2,lowrise,7442.96,1,1275,1573665.34,77183.50,35428.49,47411.66,419931.80,544005.95,431617.25,81798.13
218559663,era1,lowrise,2849.78,1,1275,744390.73,52692.43,28925.27,31005.61,255169.30,350152.47,275402.74,54972.26
218559664,era2,lowrise,3519.63,1,1275,744156.18,36498.56,16753.44,22420.04,198577.52,257249.76,204103.34,38680.73
224711918,era2,lowrise,16117.31,1,671,3407683.32,167136.50,76718.40,102667.26,909338.63,1178014.19,934642.81,177129.24
251982592,era2,lowrise,29638.55,1,1342,6266479.50,307351.76,141079.50,188797.56,1672206.99,2166281.62,1718739.51,325727.66
251982593,era1,lowrise,5476.18,1,1128,1430432.48,101254.57,55583.23,59580.84,490337.16,672858.24,529218.04,105635.51
268192474,era1,lowrise,487.34,0,1091,127298.71,9010.92,4946.50,5302.26,43636.42,59879.47,47096.54,9400.79
268748627,era1,lowrise,2391.67,1,839,624729.31,44221.98,24275.45,26021.37,214150.13,293864.49,231130.99,46135.31
268752132,era2,midrise,14466.00,1,839,3058546.80,150012.42,68858.16,92148.42,816171.72,1057319.94,838883.34,158981.34
268758258,era2,lowrise,5103.83,1,839,1079102.10,52926.72,24294.23,32511.40,287958.09,373038.93,295971.10,56091.09
269856520,era1,lowrise,65891.00,1,1214,17211388.50,1218324.59,668793.65,716894.08,5899880.14,8096027.17,6367706.24,1271037.39
269856955,era2,lowrise,3444.16,1,839,728198.20,35715.94,16394.20,21939.30,194319.51,251733.65,199726.84,37851.32
269856956,era2,lowrise,5041.58,1,839,1065941.49,52281.18,23997.92,32114.86,284445.94,368489.08,292361.22,55406.96
271093437,era1,lowrise,2337.96,1,839,610697.72,43228.88,23730.29,25437.00,209340.94,287265.15,225940.45,45099.25
271093778,era1,lowrise,10027.98,1,839,2619408.93,185417.35,101784.00,109104.42,897905.33,1232137.90,969103.99,193439.73
271094155,era2,lowrise,580.39,0,839,122711.72,6018.64,2762.66,3697.08,32745.60,42420.71,33656.82,6378.49
271100300,era1,lowrise,14989.67,1,839,3915451.13,277159.00,152145.15,163087.61,1342175.05,1841780.75,1448601.71,289150.73
271100351,era2,lowrise,2159.74,0,1647,456634.66,22396.50,10280.36,13757.54,121852.53,157855.40,125243.32,23735.54
271100390,era2,lowrise,1646.23,0,1647,348063.42,17071.41,7836.05,10486.49,92880.30,120322.95,95464.88,18092.07
271100433,era2,lowrise,1521.84,0,1647,321762.46,15781.48,7243.96,9694.12,85862.21,111231.29,88251.50,16725.02
271100603,era2,lowrise,3315.35,1,1606,700965.07,34380.18,15781.07,21118.78,187052.05,242318.93,192257.15,36435.70
271100626,era2,lowrise,1781.47,0,1606,376655.57,18473.84,8479.80,11347.96,100510.54,130207.64,103307.45,19578.36
271100738,era1,lowrise,22314.41,1,839,5828746.03,412593.44,226491.26,242780.78,1998032.27,2741771.56,2156464.58,430444.97
271101741,era2,lowrise,1677.39,0,1606,354651.42,17394.53,7984.38,10684.97,94638.34,122600.44,97271.85,18434.52
271101742,era2,lowrise,1761.35,0,1606,372402.87,18265.20,8384.03,11219.80,99375.37,128737.07,102140.69,19357.24
271101743,era2,lowrise,2008.35,0,1606,424624.79,20826.59,9559.75,12793.19,113311.11,146790.30,116464.22,22071.77
271101744,era2,lowrise,2155.80,0,1606,455801.75,22355.65,10261.61,13732.45,121630.24,157567.42,125014.84,23692.24
271101745,era2,lowrise,2149.60,0,1606,454489.29,22291.35,10232.10,13692.95,121280.43,157114.26,124655.30,23624.10
271101746,era2,lowrise,2075.23,0,1606,438764.92,21520.14,9878.09,13219.22,117084.48,151678.56,120342.59,22806.78
271101747,era1,lowrise,1732.82,0,1606,452629.48,32039.84,17588.12,18853.08,155156.70,212911.59,167459.72,33426.10
271101748,era2,lowrise,1934.50,0,1606,409011.10,20060.77,9208.22,12322.77,109144.49,141392.61,112181.65,21260.15
271101749,era2,lowrise,1839.24,0,1606,388870.55,19072.92,8754.78,11715.96,103769.92,134430.05,106657.53,20213.25
271101775,era2,lowrise,7533.44,1,839,1592795.65,78121.77,35859.17,47988.01,425036.68,550619.13,436864.19,82792.51
272333087,era3,lowrise,60017.83,1,790,9027281.99,169250.28,196258.30,29408.74,1293384.24,1410419.01,892465.13,116434.59
272516773,era2,lowrise,12426.38,1,796,2627309.76,128861.56,59149.57,79156.04,701096.36,908244.11,720605.78,136565.92
272516774,era2,lowrise,5854.25,1,796,1237763.14,60708.57,27866.23,37291.57,330296.79,427887.13,339487.96,64338.21
272516776,era2,lowrise,12448.44,1,796,2631973.55,129090.32,59254.57,79296.56,702340.98,909856.48,721885.04,136808.36
272516779,era2,lowrise,13805.65,1,796,2918928.46,143164.59,65714.89,87941.99,778914.77,1009054.96,800589.64,151724.09
272516788,era2,lowrise,6595.25,1,797,1394434.52,68392.74,31393.39,42011.74,372104.01,482046.82,382458.55,72481.80
272516790,era2,lowrise,6872.66,1,797,1453086.57,71269.48,32713.86,43778.84,387755.48,502322.72,398545.55,75530.53
273251507,era1,highrise,103432.67,1,1046,27017648.90,1912470.07,1049841.60,1125347.45,9261361.27,12708772.16,9995733.23,1995216.20
273258321,era1,midrise,35116.64,1,1045,9172818.43,649306.67,356433.90,382069.04,3144343.95,4314781.56,3393672.09,677399.99
273260769,era1,midrise,18709.94,1,1087,4887223.97,345946.79,189905.89,203564.15,1675288.03,2298890.33,1808128.60,360914.74
273262764,era1,highrise,23409.21,1,1128,6114720.99,432836.29,237603.48,254692.20,2096060.66,2876289.63,2262266.05,451563.66
273264889,era1,lowrise,39273.64,1,1210,10258668.14,726169.60,398627.45,427297.20,3516561.73,4825552.15,3795404.57,757588.52
273267138,era1,highrise,9213.93,1,1127,2406769.47,170365.57,93521.39,100247.56,825015.29,1132115.58,890434.20,177736.71
273730025,era2,lowrise,6101.03,1,1496,1289941.79,63267.68,29040.90,38863.56,344220.11,445924.28,353798.73,67050.32
273730321,era1,lowrise,14492.66,1,1454,3785626.54,267969.28,147100.50,157680.14,1297672.78,1780713.13,1400570.66,279563.41
273732723,era1,lowrise,40758.02,1,1493,10646403.67,753615.79,413693.90,443447.26,3649473.11,5007937.92,3938855.05,786222.21
273735622,era1,lowrise,1521.27,1,1169,397371.38,28128.28,15440.89,16551.42,136214.52,186918.44,147015.53,29345.30
273735623,era1,lowrise,1979.22,1,1210,516991.08,36595.78,20089.08,21533.91,177219.36,243186.76,191271.82,38179.15
273805445,era1,midrise,5227.20,1,1169,1365395.92,96650.93,53056.08,56871.94,468043.49,642266.06,505156.61,100832.69
273805446,era1,lowrise,1918.98,1,1169,501255.95,35481.94,19477.65,20878.50,171825.47,235785.07,185450.23,37017.12
273909857,era2,lowrise,2502.37,0,1452,529076.97,25949.58,11911.28,15940.10,141183.72,182898.22,145112.44,27501.05
273910867,era2,lowrise,2177.31,0,1452,460347.70,22578.70,10364.00,13869.46,122843.83,159139.59,126262.21,23928.64
273910868,era2,lowrise,2661.83,1,1452,562791.61,27603.18,12670.31,16955.86,150180.45,194553.15,154359.52,29253.51
273910870,era2,lowrise,2083.29,0,1452,440470.91,21603.72,9916.46,13270.56,117539.22,152267.67,120809.99,22895.36
273910872,era2,lowrise,2680.26,1,1452,566686.52,27794.30,12758.04,17073.26,151220.27,195900.20,155428.28,29456.06
273910873,era2,lowrise,1622.66,0,1452,343079.79,16826.98,7723.86,10336.34,91550.48,118600.22,94098.05,17833.03
273910875,era2,lowrise,2306.30,0,1452,487621.65,23916.33,10977.99,14691.13,130121.45,168567.47,133742.34,25346.24
273910876,era2,lowrise,1784.81,0,1452,377363.08,18508.48,8495.70,11369.24,100698.98,130451.76,103501.13,19615.06
273930062,era2,lowrise,2342.82,0,1452,495343.41,24295.04,11151.82,14923.76,132181.90,171236.71,135860.13,25747.59
273930064,era1,lowrise,1911.72,0,1452,499360.01,35347.70,19403.96,20799.51,171175.41,234893.04,184748.62,36877.08
273930065,era2,lowrise,1056.18,0,1452,223307.92,10952.59,5027.42,6727.87,59589.68,77196.20,61247.88,11607.42
273930066,era1,lowrise,2511.49,0,1452,656026.90,46437.45,25491.62,27325.01,224878.81,308586.78,242710.39,48446.64
273930067,era1,lowrise,2814.90,1,1452,735280.98,52047.50,28571.23,30626.11,252046.15,345866.76,272031.94,54299.42
273930068,era1,lowrise,2858.08,1,1452,746559.35,52845.90,29009.51,31095.91,255912.48,351172.29,276204.85,55132.36
273930069,era1,lowrise,1215.56,0,1452,317515.97,22475.70,12337.93,13225.29,108841.24,149355.86,117471.72,23448.15
273930071,era1,lowrise,1093.33,0,1452,285590.03,20215.67,11097.30,11895.43,97896.77,134337.46,105659.41,21090.34
273930072,era1,lowrise,2443.78,0,1452,638338.51,45185.49,24804.37,26588.33,218816.06,300267.25,236166.90,47140.52
273930073,era1,lowrise,2995.98,1,1452,782579.10,55395.67,30409.20,32596.26,268260.05,368116.06,289531.51,57792.45
273930074,era2,lowrise,2625.32,0,1452,555072.44,27224.57,12496.52,16723.29,148120.55,191884.64,152242.31,28852.27
273930075,era1,lowrise,2577.99,0,1452,673396.46,47667.04,26166.60,28048.53,230833.22,316757.63,249136.95,49729.43
274122222,era2,lowrise,1979.29,0,881,418480.63,20525.24,9421.42,12608.08,111671.54,144666.31,114779.03,21752.40
274122273,era1,lowrise,1635.18,0,1497,427124.59,30234.48,16597.08,17790.76,146414.02,200914.57,158023.80,31542.62
274149634,era1,lowrise,1816.49,0,1539,474484.26,33586.90,18437.37,19763.41,162648.51,223192.13,175545.59,35040.09
274149741,era2,midrise,2834.65,1,1538,599329.00,29395.32,13492.93,18056.72,159930.95,207184.57,164381.35,31152.80
274150958,era1,lowrise,1817.37,0,1538,474714.78,33603.17,18446.31,19772.99,162727.31,223300.25,175630.64,35057.07
278009935,era2,midrise,6627.77,1,671,1401309.66,68729.97,31548.19,42218.89,373938.78,484423.71,384344.38,72839.19
278010222,era2,lowrise,8166.95,1,671,1726738.87,84691.27,38874.68,52023.47,460779.32,596922.38,473601.43,89754.78
279349826,era2,lowrise,3340.23,1,710,706224.02,34638.19,15899.49,21277.27,188455.78,244137.41,193699.94,36709.13
286900461,era1,lowrise,3507.68,1,1372,916242.35,64857.00,35602.95,38163.56,314077.67,430988.64,338982.20,67663.15
286900630,era1,lowrise,6622.81,1,1372,1729944.92,122455.76,67221.52,72056.17,593006.41,813744.66,640028.36,127754.00
286900663,era2,lowrise,3953.97,1,1372,835988.56,41002.67,18820.90,25186.79,223082.99,288995.67,229290.72,43454.13
286900704,era2,lowrise,3113.85,1,1372,658360.51,32290.62,14821.93,19835.22,175683.42,227591.30,180572.16,34221.21
286900870,era1,lowrise,1760.02,0,1372,459736.11,32542.77,17864.20,19149.02,157592.19,216253.66,170088.33,33950.79
286900885,era1,lowrise,1146.68,0,1372,299525.50,21202.11,11638.80,12475.88,102673.73,140892.57,110815.16,22119.46
286900954,era1,lowrise,3740.35,1,1372,977016.35,69159.07,37964.55,40695.01,334910.94,459576.80,361467.42,72151.35
286901145,era1,lowrise,17686.32,1,1413,4619842.69,327020.06,179516.15,192427.16,1583633.09,2173118.14,1709205.96,341169.11
286901172,era2,lowrise,5674.33,1,1413,1199722.63,58842.80,27009.81,36145.48,320145.70,414736.78,329054.40,62360.89
286901234,era1,lowrise,2178.55,0,1413,569058.68,40281.39,22112.28,23702.62,195067.37,267678.44,210535.07,42024.23
286901298,era1,lowrise,5140.76,1,1454,1342817.20,95052.65,52178.71,55931.47,460303.65,631645.18,496803.05,99165.26
286902848,era1,lowrise,1287.07,0,1493,336195.07,23797.92,13063.76,14003.32,115244.25,158142.29,124382.44,24827.58
286904405,era1,lowrise,48955.86,1,1413,12787759.74,905193.85,496901.98,532639.76,4383507.70,6015206.52,4731094.31,944358.54
286906579,era1,lowrise,878.98,0,1288,229597.70,16252.34,8921.65,9563.30,78703.87,108000.27,84944.63,16955.52
286907433,era1,lowrise,2857.76,1,1288,746474.94,52839.98,29006.26,31092.43,255883.83,351132.97,276173.93,55126.19
286913349,era1,lowrise,4700.62,1,1329,1227849.22,86914.46,47711.29,51142.75,420893.51,577565.18,454267.92,90674.96
286915385,era2,highrise,3081.71,1,1410,651566.56,31957.33,14668.94,19630.49,173870.08,225242.18,178708.36,33867.99
286915417,era2,highrise,2430.81,0,1410,513946.58,25207.50,11570.66,15484.26,137146.30,177667.90,140962.67,26714.60
286915497,era2,highrise,4016.64,1,1410,849239.21,41652.56,19119.21,25586.00,226618.83,293576.22,232924.95,44142.87
286915498,era2,highrise,4190.72,1,1410,886044.43,43457.77,19947.83,26694.89,236440.42,306299.72,243019.85,46056.01
286915521,era2,highrise,2346.21,0,1410,496058.75,24330.20,11167.96,14945.36,132373.17,171484.49,136056.72,25784.85
286915625,era2,highrise,4995.41,1,1410,1056179.95,51802.40,23778.15,31820.76,281841.03,365114.52,289683.83,54899.56
286915627,era2,highrise,2585.46,0,1410,546643.14,26811.22,12306.79,16469.38,145871.65,188971.27,149930.83,28414.21
286915657,era2,highrise,3221.58,1,1410,681138.55,33407.78,15334.72,20521.46,181761.54,235465.28,186819.42,35405.16
286915758,era2,highrise,2685.07,1,1410,567703.59,27844.18,12780.93,17103.90,151491.65,196251.77,155707.21,29508.92
286926995,era1,lowrise,1535.38,0,1174,401057.87,28389.18,15584.11,16704.93,137477.93,188652.14,148379.12,29617.48
286927001,era1,lowrise,2077.84,0,1174,542753.43,38419.26,21090.08,22606.90,186049.79,255304.20,200802.46,40081.53
286927006,era1,lowrise,2724.65,1,1174,711707.08,50378.78,27655.20,29644.19,243965.16,334777.75,263310.18,52558.50
286927007,era1,lowrise,2137.12,0,1174,558236.90,39515.35,21691.77,23251.87,191357.72,262587.93,206531.28,41225.04
286927026,era1,lowrise,1938.42,0,1215,506333.88,35841.39,19674.96,21090.01,173566.13,238173.67,187328.91,37392.12
286927039,era1,lowrise,1226.90,0,1215,320477.59,22685.38,12453.03,13348.67,109856.63,150749.20,118567.62,23666.90
286927057,era1,lowrise,1122.95,0,1091,293324.48,20763.35,11397.94,12217.70,100548.94,137976.87,108521.89,21661.71
286927061,era1,lowrise,1496.49,0,1091,390897.00,27670.10,15189.37,16281.81,133995.71,183873.73,144620.79,28867.29
286927063,era1,lowrise,1392.43,0,1091,363715.49,25746.03,14133.16,15149.64,124678.18,171087.87,134564.44,26859.97
286927116,era1,lowrise,1542.51,0,1091,402919.61,28521.01,15656.48,16782.51,138116.35,189528.20,149068.17,29755.02
286927118,era1,lowrise,1429.05,0,1091,373281.90,26423.13,14504.86,15548.06,127957.14,175587.37,138103.39,27566.37
286927126,era1,lowrise,1433.30,0,1091,374391.29,26501.72,14547.99,15594.30,128337.68,176109.57,138514.11,27648.36
286927144,era1,lowrise,2194.36,0,1091,573188.32,40573.72,22272.75,23874.64,196482.99,269621.01,212062.95,42329.20
286927219,era1,lowrise,1937.54,0,1091,506104.33,35825.11,19666.03,21080.44,173487.33,238065.54,187243.87,37375.15
286927359,era1,lowrise,889.78,0,1091,232419.76,16452.03,9031.27,9680.81,79670.90,109327.27,85988.34,17163.86
286927413,era1,lowrise,2068.77,0,1132,540384.21,38251.56,20998.02,22508.22,185237.67,254189.77,199925.93,39906.57
286927469,era1,lowrise,1254.27,0,1168,327628.33,23191.45,12730.84,13646.46,112307.34,154112.15,121212.65,24194.87
286927470,era1,midrise,1298.09,0,1168,339073.99,24001.68,13175.61,14123.22,116230.98,159496.32,125447.42,25040.16
286927548,era1,midrise,1357.32,0,1168,354544.83,25096.85,13776.80,14767.64,121534.43,166773.91,131171.40,26182.70
286927565,era1,lowrise,1322.35,0,1168,345410.93,24450.25,13421.85,14387.17,118403.22,162477.14,127791.90,25508.13
